,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_sweeteners,sugar_crops,treenuts,vegetable_oils,vegetables,vegetal_products,Unit (all except Population)
75,Oceania,Kiribati,460,3569.378,,,,128874,143.701,23.2,3.895,1981.132,,434.657,22.66,35.9,58.9,1.9,68.37,0.63,46,0.297,0.0486,8.8958,0,8.2747,0.164,6.1065,5.8907,2.3856,0.1561,0.5104,0.035,9.9946,0.0032,0.0064,7.183,0.0311,4.1373,0,0.1951,0.4419,4.1389,41.1042,%
76,Asia,Kuwait,545717,128400.556,2497,7332551,76.61,4250114,232.128,33.7,2.345,65530.537,,132.235,15.84,2.7,37,2,75.49,0.806,37.9,0.0044,0.0022,10.7213,0.0022,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,0.8554,0.1969,0.2783,0.4353,0.202,3.2296,0.2696,2.9163,0.0276,0.1512,1.1976,12.9953,39.275,%
77,Asia,Kyrgyzstan,198316,30380.485,2880,2498929,,6527743,32.333,26.3,4.489,3393.474,1.4,436.362,7.11,3.6,50.5,4.5,71.45,0.697,16.6,0.6313,0.191,15.4588,0,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,0.2076,0.2604,0.0098,0.3439,0.0197,5.8068,0.0608,3.2495,0,0.1449,0.355,11.3219,34.5412,%
78,Europe,Latvia,392764,209594.972,4873,2787898,68.73,1873919,31.212,43.9,19.754,25063.846,0.7,350.06,4.91,25.6,51,5.57,75.29,0.866,23.6,5.4573,1.1805,18.8216,0.0005,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0,0.0793,0.699,6.1946,31.1757,%
79,Asia,Lebanon,921208,164718.18,9606,4902087,36.1,5592631,594.561,31.1,8.514,13367.565,,266.591,12.71,26.9,40.7,2.9,78.93,0.744,32,0.7164,0.0796,8.0679,0,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0,0.5271,1.4807,10.5128,41.9252,%
80,Africa,Lesotho,32176,14103.287,693,,,2281454,73.562,22.2,4.506,2851.153,59.6,405.126,3.94,0.4,53.9,,54.33,0.527,16.6,3.4135,0.0233,6.0914,0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0,0.0052,0.6786,3.3721,43.8988,%
81,Africa,Liberia,7272,1400.234,290,,,5193416,49.127,19.2,3.057,752.788,38.6,272.509,2.42,1.5,18.1,0.8,64.1,0.48,9.9,1.0338,0.0264,3.7603,0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,%
82,Europe,Lithuania,705158,253048.552,7889,4415203,66.8,2786651,45.135,43.5,19.002,29524.265,0.7,342.989,3.67,21.3,38,6.56,75.93,0.882,26.3,5.5419,0.5316,23.049,0.0009,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0,0.055,0.4924,4.4045,26.9471,%
83,Europe,Luxembourg,157985,247113.735,952,1231238,,639321,231.447,39.7,14.312,94277.965,0.2,128.275,4.42,20.9,26,4.51,82.25,0.916,22.6,8.0858,0.5443,14.6038,0.0051,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,0.3877,0.1036,0.1658,0.0399,0.0586,2.2067,1.2823,8.1121,0,0.0308,0.563,4.8536,35.3838,%
84,Africa,Madagascar,59319,2051.449,1274,,,28915653,43.951,19.6,2.929,1416.44,77.6,405.994,3.94,,,0.2,67.04,0.528,5.3,0.7972,0.0415,4.9125,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,%
