,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_sweeteners,sugar_crops,treenuts,vegetable_oils,vegetables,vegetal_products,Unit (all except Population)
126,Europe,Slovakia,1569299,288070.465,17830,,,5447622,113.128,41.2,15.07,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,20.5,6.1266,1.3559,18.9841,0,5.4026,0.939,0.7045,3.5463,4.3096,11.4696,0.029,0.2055,0.2055,0.0973,0.0421,3.6814,0.2513,5.5166,0,0.1118,1.438,4.5601,31.0231,%
127,Europe,Slovenia,710821,335386.263,5866,2915311,57.08,2119410,102.619,44.5,19.062,31400.84,,153.493,7.25,20.1,25,4.5,81.32,0.917,20.2,4.9933,1.1248,18.9196,0.0005,7.6345,0.5376,0.6515,6.4367,4.161,12.2569,0.6133,0.1879,0.1285,0.1106,0.0561,2.6837,0.2615,2.4915,0,0.1972,0.4739,5.002,31.0774,%
128,Oceania,Solomon Islands,1183,1671.256,9,271063,10.71,707851,21.841,20.8,3.507,2205.923,25.1,459.78,18.68,,,1.4,73,0.567,22.5,0.8298,0.1038,3.8504,0.0121,9.0233,0.0826,2.284,3.2798,0.8897,0.438,0.5585,0.0394,5.0334,0.7366,0.0364,24.25,0.0856,0.8268,0,0.0356,0.3327,1.1223,46.1492,%
129,Africa,South Africa,3605222,60701.888,95093,29884699,27.99,59392255,46.754,27.3,5.344,12294.876,18.9,200.38,5.52,8.1,33.2,2.32,64.13,0.709,28.3,6.2658,0.0593,11.8433,0.0009,17.1035,0.594,0.5365,1.9355,5.3933,4.8155,0.0009,0.4448,0.2462,0.1546,0.0539,2.8503,0.1321,4.4677,0,0.0108,1.1726,3.7632,38.1554,%
130,Europe,Spain,9961253,209768.287,93225,90272896,80.64,47486935,93.105,45.5,19.436,34272.36,1,99.403,7.17,27.4,31.4,2.97,83.56,0.904,23.8,5.3152,0.2357,18.3382,0.0011,6.0548,0.7321,2.2646,4.8332,5.3456,9.5991,0,0.1605,0.265,0.2666,0.0069,3.0975,0.2229,1.8482,0,0.4287,1.5122,7.8139,31.6581,%
131,Asia,Sri Lanka,611185,28070.207,15441,35764626,63.92,21773441,341.955,34.1,10.069,11669.077,0.7,197.093,10.68,0.3,27,3.6,76.98,0.782,5.2,0.681,0.0147,5.5328,0.0039,20.7839,0.4178,3.0173,4.1171,0.8845,1.0948,0.0303,0.0998,7.1364,0.9608,0.5244,1.9793,0.2818,2.7209,0,0.135,0.2466,4.8753,44.4618,%
132,South America,Suriname,73769,120344.087,1263,,,612984,3.612,29.6,6.933,13767.119,,258.314,12.54,7.4,42.9,3.1,71.68,0.738,26.4,4.1704,0.0438,6.7984,0,13.9476,0.5407,1.4348,8.6872,3.6451,1.0789,1.2414,0.0576,0.6757,0.1719,0.0224,2.4553,0.0903,4.7051,0.3207,0.0155,1.3351,5.3705,43.1917,%
133,Europe,Sweden,2070456,197806.135,15855,,,10467097,24.718,41,19.985,46949.283,0.5,133.982,4.79,18.8,18.9,2.22,82.8,0.945,20.6,4.4232,1.0442,24.0627,0,6.1923,0.7266,1.7659,3.5405,4.1476,16.3687,0.4623,0.0086,0.1712,0.0937,0.0484,2.8343,0.5533,2.5211,0,0.0996,0.3967,4.611,25.9282,%
134,Europe,Switzerland,2220539,255486.742,12708,15317659,68.13,8691406,214.243,43.1,18.436,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,19.5,4.9978,0.4802,22.4227,0.0022,5.9818,0.5377,0.9109,4.6041,3.6314,16.706,0,0.1549,0.1124,0.0995,0.0382,2.1542,0.3727,2.9737,0,0.2377,1.0637,4.9478,27.5705,%
135,Asia,Tajikistan,17706,1815.988,125,,,9750064,64.281,23.3,3.466,2896.913,4.8,427.698,7.11,,,4.8,71.1,0.668,14.2,0.1423,0.0018,7.2363,0,13.3691,0.2255,0.0342,3.7863,1.5221,5.2373,0.2089,0.2144,0.1349,0.2486,0.0305,2.9278,0.0555,1.6607,0,0.0582,0.8419,19.2995,42.7642,%
136,Asia,Thailand,2440542,34085.257,22173,116749385,68.03,71601103,135.132,40.1,11.373,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,10,3.6223,0.0902,7.7828,0.0325,17.5571,1.1143,2.6297,8.3291,2.4675,1.3279,0.009,0.1199,1.2775,0.2344,0.6626,1.8887,0.1262,4.0424,0,0.0938,0.7816,3.5962,42.2145,%
137,Africa,Togo,36491,4221.136,268,,,8644829,143.366,19.4,2.839,1429.813,49.2,280.033,6.15,0.9,14.2,0.7,61.04,0.515,8.4,1.0144,0.0292,3.6702,0,15.8144,0.1067,1.3178,0.91,1.4133,0.7246,0.7448,0.0775,0.4718,1.7626,0.0595,20.0654,0.0843,1.8312,0,0,1.4099,2.1637,46.3287,%
138,North America,Trinidad and Tobago,111549,73115.098,3404,1480799,45.24,1525663,266.886,36.2,10.014,28763.071,,228.467,10.97,,,3,73.51,0.796,18.6,2.4881,0.2804,12.7835,0,13.0903,0.4044,2.3299,4.9733,6.7063,2.8789,0.2413,0.1837,1.2016,0.8939,0.2305,3.5148,0.0899,5.62,0,0.0928,1.2563,3.5256,37.2145,%
139,Africa,Tunisia,909813,74192.042,26288,12757250,50.84,12262946,74.228,32.7,8.001,10849.297,2,318.991,8.52,1.1,65.8,2.3,76.7,0.74,26.9,0.7037,0.2083,9.6312,0,12.0523,0.4508,0.7615,5.4307,1.6411,6.4775,0.0116,0.0926,0.2031,0.4311,0.1065,1.7724,0.1979,2.0832,0,0.3489,1.2551,15.7731,40.3673,%
140,Africa,Uganda,161839,3529.458,3533,12911692,4.39,45853778,213.759,16.4,2.168,1697.707,41.6,213.333,2.5,3.4,16.7,0.5,63.37,0.544,5.3,6.1671,0.0352,5.6473,0,6.748,0.0815,1.0442,11.3112,0.8978,3.4755,0.0371,0.113,0.6338,2.3942,0.012,12.361,0.013,1.2601,0,0,0.744,2.6703,44.3536,%
141,Europe,Ukraine,4255206,97750.218,106880,30366236,33.69,43531422,77.39,41.4,16.462,7894.393,0.1,539.849,7.11,13.5,47.4,8.8,72.06,0.779,24.1,2.625,0.1753,13.1214,0.0006,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,0.007,0.1339,0.0175,0.1099,0.0111,7.6721,0.0883,3.8811,0,0.0807,0.647,9.4361,36.8777,%
142,Asia,United Arab Emirates,845058,90234.384,2243,,,9365144,112.442,34,1.144,67293.483,,317.84,17.26,1.2,37.4,1.2,77.97,0.89,31.7,0,0.1896,10.5491,0,12.906,0.5958,1.9682,8.1938,4.94,2.6468,0.9471,0.2095,0.6133,2.1108,0.3194,0.8937,0.1649,3.6576,0,0.5838,0.7949,8.2695,39.4461,%
143,South America,Uruguay,668425,195088.814,6479,7436812,78.67,3426260,19.751,35.6,14.655,20551.409,0.1,160.708,6.93,14,19.9,2.8,77.91,0.817,27.9,3.5664,0.21,17.8865,0,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,0.3918,0.1168,0.277,0.1936,0.0144,3.044,0.6169,3.4102,0,0.0131,1.0337,3.9333,32.1076,%
144,Asia,Uzbekistan,223008,6543.384,1564,,,34081449,76.134,28.2,4.469,6253.104,,724.417,7.57,1.3,24.7,4,71.72,0.72,16.6,0.6835,0.1353,14.4463,0,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.04,0.1748,0.0287,0.0022,0.0038,2.8891,0.0644,0.5796,0,0.0649,0.6109,14.8354,35.554,%
145,Oceania,Vanuatu,7,21.934,1,,,319136,22.662,23.1,4.394,2921.909,13.2,546.3,12.02,2.8,34.5,,70.47,0.609,25.2,0.2424,0.0793,6.6244,0,6.4102,0.1875,2.1649,5.8103,2.7466,1.2692,0.2882,0.1776,12.1763,0.0008,0.0374,12.7275,0.0305,1.3645,0,0.0038,0.3674,3.9175,43.3737,%
146,Asia,Yemen,11019,334.095,2012,744060,1.04,32981641,53.508,20.3,2.922,1479.147,18.8,495.003,5.35,7.6,29.2,0.7,66.12,0.47,17.1,0.0364,0.0446,5.7874,0,27.2077,0.2579,0.524,5.1344,2.7871,1.8911,0.2033,0.2827,0.0893,0.8645,0.0347,1.0794,0.2199,5.0468,0,0.0017,1.0811,3.2135,44.2126,%
147,Africa,Zambia,305047,15665.026,3917,2386312,8.53,19473125,22.995,17.7,2.48,3689.251,57.5,234.499,3.94,3.1,24.7,2,63.89,0.584,8.1,5.736,0.0829,6.0197,0,21.1938,0.3399,1.6924,1.0183,1.8427,1.757,0.2149,0.3048,1.8736,0.1756,0.0478,7.9649,0.0618,1.5632,0,0.0014,0.6657,3.4649,43.9789,%
148,Africa,Zimbabwe,229666,14359.937,5338,7632514,20.63,15993524,42.729,19.6,2.822,1899.775,21.4,307.846,1.82,1.6,30.7,1.7,61.49,0.571,15.5,4.0552,0.0755,8.1489,0,22.624,0.2678,0.5518,2.2,2.6142,4.431,0.2012,0.2086,0.4498,0.4261,0.0252,2.987,0.1494,4.6485,0,0.0518,1.7103,2.3213,41.8526,%
