,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage
25,Europe,Bulgaria,951965.0,138249.092,33318.0,4165478.0,28.99,6885868.0,65.18,44.7,20.801,18563.307,1.5,424.688,5.81,30.1,44.4,7.454,75.05,0.816,25.0
26,Africa,Burkina Faso,20624.0,933.184,366.0,0.0,0.0,22100683.0,70.151,17.6,2.409,1703.102,43.7,269.048,2.42,1.6,23.9,0.4,61.58,0.452,5.6
27,Africa,Burundi,37432.0,2982.341,38.0,0.0,0.0,12551213.0,423.062,17.5,2.562,702.225,71.7,293.068,6.05,0.0,0.0,0.8,61.58,0.433,5.4
28,Asia,Cambodia,121355.0,7315.38,3015.0,33144777.0,82.95,16589023.0,90.672,25.6,4.412,3645.07,0.0,270.892,4.0,2.0,33.7,0.8,69.82,0.594,3.9
29,Africa,Cameroon,116718.0,4291.319,1880.0,0.0,0.0,27198628.0,50.885,18.8,3.165,3364.926,23.8,244.661,7.2,0.0,0.0,1.3,59.29,0.563,11.4
30,North America,Canada,3073654.0,80557.018,33870.0,78058871.0,79.06,38155012.0,4.037,41.4,16.984,44017.591,0.5,105.599,7.37,12.0,16.6,2.5,82.43,0.929,29.4
31,Africa,Central African Republic,13919.0,2550.597,110.0,652134.0,10.07,5457154.0,7.479,18.3,3.655,661.24,0.0,435.727,6.1,0.0,0.0,1.0,53.28,0.397,7.5
32,Africa,Chad,7155.0,416.479,190.0,0.0,0.0,17179740.0,11.833,16.7,2.486,1768.153,38.4,280.995,6.1,0.0,0.0,0.0,54.24,0.398,6.1
33,South America,Chile,2165984.0,111114.942,39721.0,46710665.0,87.0,19493184.0,24.282,35.4,11.087,22767.037,1.3,127.993,8.46,34.2,41.5,2.11,80.18,0.851,28.0
34,Asia,China,120069.0,84.206,4636.0,3000532000.0,0.0,1425893464.0,147.674,38.7,10.641,15308.712,0.7,261.899,9.74,1.9,48.4,4.34,76.91,0.761,6.2
35,South America,Colombia,5887261.0,114278.996,134300.0,71927908.0,61.47,51516562.0,44.223,32.2,7.646,13254.949,4.5,124.24,7.44,4.7,13.5,1.71,77.29,0.767,22.3
36,Africa,Comoros,7832.0,9532.318,160.0,0.0,0.0,821626.0,437.352,20.4,2.963,1413.89,18.1,261.516,11.88,4.4,23.6,2.2,64.32,0.554,7.8
37,Africa,Congo,23705.0,4061.992,371.0,0.0,0.0,5835806.0,15.405,19.0,3.402,4881.406,37.0,344.094,7.2,1.7,52.3,0.0,64.57,0.574,9.6
38,Oceania,Cook Islands,2.0,117.626,0.0,0.0,0.0,17003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.25,0.0,55.9
39,North America,Costa Rica,694865.0,134821.653,7575.0,8315360.0,71.34,5153957.0,96.079,33.6,9.468,15524.995,1.3,137.973,8.78,6.4,17.4,1.13,80.28,0.81,25.7
40,Europe,Croatia,937167.0,230821.635,13827.0,5100960.0,54.34,4060135.0,73.726,44.0,19.724,22669.797,0.7,253.782,5.59,34.3,39.9,5.54,78.49,0.851,24.4
41,North America,Cuba,1044790.0,92817.65,8399.0,34298831.0,87.34,11256372.0,110.408,43.1,14.738,0.0,0.0,190.968,8.27,17.1,53.3,5.2,78.8,0.783,24.6
42,Europe,Cyprus,256746.0,286544.636,733.0,1693504.0,70.23,896007.0,127.657,37.3,13.416,32415.132,0.0,141.171,9.24,19.6,52.7,3.4,80.98,0.887,21.8
43,Europe,Czechia,3013454.0,286702.091,37209.0,17065912.0,64.59,10510750.0,137.176,43.3,19.027,32605.906,0.0,227.485,6.82,30.5,38.3,6.63,79.38,0.9,26.0
44,Europe,Denmark,1742569.0,297659.303,3755.0,12991747.0,81.04,5854240.0,136.52,42.3,19.677,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,19.7
45,Africa,Djibouti,15464.0,13987.519,189.0,0.0,0.0,1105557.0,41.285,25.4,4.213,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,13.5
46,North America,Dominica,9032.0,124730.708,51.0,0.0,0.0,72412.0,98.567,0.0,0.0,9673.367,0.0,227.376,11.62,0.0,0.0,3.8,75.0,0.742,27.9
47,North America,Dominican Republic,555245.0,49941.653,4307.0,14773753.0,52.12,11117874.0,222.873,27.6,6.981,14600.861,1.6,266.653,8.2,8.5,19.1,1.6,74.08,0.756,27.6
48,South America,Ecuador,732038.0,41130.96,34533.0,30028057.0,74.76,17797737.0,66.939,28.1,7.104,10581.936,3.6,140.448,5.55,2.0,12.3,1.5,77.01,0.759,19.9
49,Africa,Egypt,425911.0,3898.064,22635.0,0.0,0.0,109262178.0,97.999,25.3,5.159,10550.206,1.3,525.432,17.31,0.2,50.1,1.6,71.99,0.707,32.0
50,North America,El Salvador,135109.0,21397.755,3899.0,0.0,0.0,6314167.0,307.811,27.6,8.273,7292.458,2.2,167.295,8.87,2.5,18.8,1.3,73.32,0.673,24.6
51,Africa,Equatorial Guinea,15802.0,9667.989,182.0,0.0,0.0,1634466.0,45.194,22.4,2.846,22604.873,0.0,202.812,7.78,0.0,0.0,2.1,58.74,0.592,8.0
52,Africa,Eritrea,9536.0,2634.027,98.0,0.0,0.0,3620312.0,44.304,19.3,3.607,1510.459,0.0,311.11,6.05,0.2,11.4,0.7,66.32,0.459,5.0
53,Europe,Estonia,337543.0,254039.848,2033.0,1920163.0,62.35,1328701.0,31.033,42.7,19.452,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,21.2
54,Africa,Eswatini,68367.0,57341.829,1375.0,0.0,0.0,1192271.0,79.492,21.5,3.163,7738.975,0.0,333.436,3.94,1.7,16.5,2.1,60.19,0.611,16.5
55,Africa,Ethiopia,465158.0,3867.196,7337.0,10975026.0,0.0,120283026.0,104.957,19.8,3.526,1729.927,26.7,182.634,7.47,0.4,8.5,0.3,66.6,0.485,4.5
56,not_applicable,Europe,127960148.0,170919.997,1651378.0,1208501691.0,63.2,748655221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9
57,Oceania,Fiji,62855.0,67980.013,801.0,1279166.0,66.43,924610.0,49.562,28.6,6.224,8702.975,1.4,412.82,14.49,10.2,34.8,2.3,67.44,0.743,30.2
58,Europe,Finland,489870.0,88488.206,1990.0,11008185.0,74.68,5535992.0,18.136,42.8,21.228,40585.721,0.0,153.507,5.76,18.3,22.6,3.28,81.91,0.938,22.2
59,Europe,France,19196399.0,284720.106,131011.0,137224177.0,76.6,67422000.0,122.578,42.0,19.718,38605.671,0.0,86.06,4.77,30.1,35.6,5.98,82.66,0.901,21.6
60,Africa,Gabon,46925.0,20043.32,301.0,0.0,0.0,2341179.0,7.859,23.1,4.45,16562.413,3.4,259.967,7.2,0.0,0.0,6.3,66.47,0.703,15.0
61,Africa,Gambia,11842.0,4485.749,362.0,0.0,0.0,2639916.0,207.566,17.5,2.339,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,10.3
62,Asia,Georgia,1175923.0,312913.587,14980.0,2722187.0,32.5,3757980.0,65.032,38.7,14.864,9745.079,4.2,496.218,7.11,5.3,55.5,2.6,73.77,0.812,21.7
