,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage
95,Europe,Luxembourg,157985.0,247113.735,952.0,1231238.0,0.0,639321.0,231.447,39.7,14.312,94277.965,0.2,128.275,4.42,20.9,26.0,4.51,82.25,0.916,22.6
96,Africa,Madagascar,59319.0,2051.449,1274.0,0.0,0.0,28915653.0,43.951,19.6,2.929,1416.44,77.6,405.994,3.94,0.0,0.0,0.2,67.04,0.528,5.3
97,Africa,Malawi,84475.0,4247.164,2561.0,1881955.0,3.9,19889742.0,197.519,18.1,2.979,1095.042,71.4,227.349,3.94,4.4,24.7,1.3,64.26,0.483,5.8
98,Asia,Malaysia,2870758.0,85505.712,31978.0,63709875.0,76.66,33573874.0,96.254,29.9,6.293,26808.164,0.1,260.942,16.74,1.0,42.4,1.9,76.16,0.81,15.6
99,Asia,Maldives,138880.0,266330.174,276.0,843409.0,70.93,521458.0,1454.433,30.6,4.12,15183.616,0.0,164.905,9.19,2.1,55.0,0.0,78.92,0.74,8.6
100,Africa,Mali,30052.0,1371.925,714.0,0.0,0.0,21904983.0,15.196,16.4,2.519,2014.306,0.0,268.024,2.42,1.6,23.0,0.1,59.31,0.434,8.6
101,Europe,Malta,67717.0,128556.729,550.0,1213371.0,85.66,526748.0,1454.037,42.4,19.426,36513.323,0.2,168.711,8.83,20.9,30.2,4.485,82.53,0.895,28.9
102,Oceania,Marshall Islands,7.0,166.468,0.0,0.0,0.0,42050.0,295.15,0.0,0.0,3819.202,0.0,557.793,30.53,0.0,0.0,2.7,73.7,0.704,52.9
103,Africa,Mauritania,58243.0,12620.439,953.0,0.0,0.0,4614974.0,4.289,20.3,3.138,3597.633,6.0,232.347,2.42,0.0,0.0,0.0,64.92,0.546,12.7
104,Africa,Mauritius,105935.0,81556.53,822.0,0.0,0.0,1298915.0,622.962,37.4,10.945,20292.745,0.5,224.644,22.02,3.2,40.7,3.4,74.99,0.804,10.8
